联网设备名称,SN,变量名称,从机序号,从机名称,time,value
设备5_new,6.1694E+16,温度,2,土壤,51:54.4,9
设备5_new,6.1694E+16,温度,2,土壤,57:00.8,9
设备5_new,6.1694E+16,温度,2,土壤,01:53.7,9
设备5_new,6.1694E+16,温度,2,土壤,07:06.9,8
设备5_new,6.1694E+16,温度,2,土壤,12:06.3,8
设备5_new,6.1694E+16,温度,2,土壤,16:56.0,8
设备5_new,6.1694E+16,温度,2,土壤,21:53.3,8
设备5_new,6.1694E+16,温度,2,土壤,26:58.4,8
设备5_new,6.1694E+16,温度,2,土壤,31:54.3,8
设备5_new,6.1694E+16,温度,2,土壤,37:01.8,8
设备5_new,6.1694E+16,温度,2,土壤,41:55.6,8
设备5_new,6.1694E+16,温度,2,土壤,46:53.5,8
设备5_new,6.1694E+16,温度,2,土壤,51:54.7,8
设备5_new,6.1694E+16,温度,2,土壤,56:59.1,8
设备5_new,6.1694E+16,温度,2,土壤,01:53.7,8
设备5_new,6.1694E+16,温度,2,土壤,07:05.3,8
设备5_new,6.1694E+16,温度,2,土壤,11:58.4,8
设备5_new,6.1694E+16,温度,2,土壤,16:54.4,8
设备5_new,6.1694E+16,温度,2,土壤,21:55.5,8
设备5_new,6.1694E+16,温度,2,土壤,26:57.7,8
设备5_new,6.1694E+16,温度,2,土壤,31:53.1,8
设备5_new,6.1694E+16,温度,2,土壤,36:56.9,8
设备5_new,6.1694E+16,温度,2,土壤,42:01.0,8
设备5_new,6.1694E+16,温度,2,土壤,46:54.5,8
设备5_new,6.1694E+16,温度,2,土壤,52:05.3,8
设备5_new,6.1694E+16,温度,2,土壤,56:58.0,8
设备5_new,6.1694E+16,温度,2,土壤,01:55.2,8
设备5_new,6.1694E+16,温度,2,土壤,07:03.8,8
设备5_new,6.1694E+16,温度,2,土壤,11:56.1,8
设备5_new,6.1694E+16,温度,2,土壤,16:53.3,8
设备5_new,6.1694E+16,温度,2,土壤,21:59.3,8
设备5_new,6.1694E+16,温度,2,土壤,26:59.0,8
设备5_new,6.1694E+16,温度,2,土壤,31:55.1,8
设备5_new,6.1694E+16,温度,2,土壤,37:01.7,8
设备5_new,6.1694E+16,温度,2,土壤,41:57.4,8
设备5_new,6.1694E+16,温度,2,土壤,46:54.8,8
