8,0,84,1032,500,8,,
8,0,84,1032,500,8,,
31:55.1,9,8,0,84,1032,501.0,8.0
8,0,84,1032,498,8,,
8,0,84,1032,499,8,,
56:59.3,8,8,0,84,1032,503.0,8.0
8,0,84,1032,502,8,,
7,0,84,1032,502,8,,
21:54.6,8,7,0,84,1032,500.0,8.0
7,0,84,1032,504,8,,
7,0,84,1032,501,8,,
47:03.5,8,7,0,84,1032,504.0,8.0
7,0,84,1032,504,8,,
7,0,84,1032,503,8,,
12:05.5,8,7,0,85,1032,502.0,8.0
7,0,85,1032,504,8,,
7,0,85,1032,505,8,,
37:01.6,7,7,0,85,1032,501.0,8.0
7,0,85,1032,501,8,,
7,0,85,1032,504,8,,
01:53.7,7,7,0,85,1032,501.0,8.0
7,0,85,1032,503,8,,
7,0,85,1032,504,8,,
26:55.7,7,6,0,85,1032,508.0,8.0
6,0,85,1032,503,8,,
6,0,85,1033,503,8,,
52:05.1,7,6,0,85,1032,505.0,8.0
6,0,86,1033,503,8,,
6,0,85,1032,503,8,,
16:53.4,7,6,0,85,1032,501.0,8.0
6,0,85,1032,503,8,,
6,0,85,1032,505,8,,
41:57.3,7,6,0,85,1032,506.0,8.0
6,0,86,1032,507,8,,
6,0,86,1032,504,8,,
07:05.6,7,6,0,86,1032,506.0,8.0
6,0,86,1032,507,8,,
6,0,86,1032,505,8,,
31:51.9,6,6,0,86,1032,508.0,8.0
6,0,86,1032,507,8,,
6,0,86,1032,508,8,,
57:06.3,6,6,0,86,1032,510.0,8.0
6,0,86,1033,508,8,,
6,0,86,1033,512,8,,
21:58.6,6,6,0,86,1033,508.0,8.0
6,0,86,1033,510,8,,
6,0,86,1033,509,8,,
46:53.1,6,6,0,86,1033,509.0,8.0
6,0,87,1033,511,8,,
6,0,87,1033,507,8,,
11:58.0,6,6,0,86,1033,512.0,8.0
6,0,86,1033,510,8,,
6,0,86,1033,511,8,,
36:53.6,6,5,0,86,1033,509.0,8.0
5,0,86,1033,514,8,,
5,0,86,1033,510,8,,
01:55.1,6,5,0,87,1033,515.0,8.0
5,0,87,1033,513,8,,
5,0,87,1033,515,8,,
26:55.7,6,5,0,87,1033,515.0,8.0
5,0,87,1033,513,8,,
5,0,87,1033,510,8,,
51:57.9,5,5,0,87,1033,512.0,8.0
